zona,via
1,Via Carlo Cattaneo
1,Contrà Mure Rocchetta
1,Contrà Mure San Rocco
1,Contrà S. Maria Nova
1,Contrà S.Rocco
1,Contrà Busato
1,Contrà Borghetto
1,Contrà Lodi
1,Contra' Porta Nova
1,Corso Fogazzaro
1,Stradella Borghetto
1,Porta S.Croce
1,Mure Corpus Domini
1,Contrà Corpus Domini
1,Contrà S.Ambrogio
1,Str.lla Soccorso Socc.to
1,Contrà Mure Porta Nova
2,Via G.B. Vico
2,Via Galilei
2,Via Pacinotti
2,Via Pagliarino
2,Via Pajello
2,Via Sarpi
2,Via Tasso
2,Via Torricelli
2,Via Volta
2,Viale Bacchiglione
2,Viale Rodolfi
2,Viale D'Alviano
2,Contrà S. Bortolo
2,Contrà S. Francesco
2,Contrà Forti San Francesco
2,Contrà della Misericordia
2,Contrà S. Marco
3,Area Legione Gallieno
3,Contrà Mure S. Domenico
3,Contrà S.Domenico
3,Piazza Araceli
3,Via Legione Gallieno
3,Viale Margherita
3,Contrà Porta Padova
3,Contrà Porta S.Lucia
3,Contrà S. Pietro
3,Piazza S. Pietro
3,Via IV Novembre
3,Contrà dei Torretti
4,Contrà Burci
4,Contrà S. Caterina
4,Contrà S. Chiara
4,Contrà S. Silvestro
4,Contrà S. Tomaso
4,Contrà Valmerlara
4,Stradella Fossetta
4,Viale X Giugno
